iter	Passed	Remaining
0	140	139967
1	141	70769
2	143	47703
3	145	36139
4	146	29159
5	147	24489
6	149	21205
7	151	18735
8	152	16782
9	153	15238
10	155	13978
11	156	12922
12	158	12023
13	159	11259
14	161	10591
15	162	10009
16	164	9493
17	166	9057
18	167	8650
19	168	8280
20	170	7947
21	171	7642
22	173	7358
23	174	7103
24	176	6873
25	177	6657
26	179	6458
27	181	6284
28	182	6110
29	184	5955
30	185	5801
31	187	5665
32	188	5536
33	190	5412
34	192	5295
35	193	5186
36	195	5083
37	197	4994
38	199	4907
39	200	4820
40	202	4734
41	203	4648
42	205	4567
43	206	4491
44	208	4420
45	209	4349
46	211	4287
47	213	4230
48	214	4169
49	216	4111
50	217	4053
51	219	3998
52	220	3945
53	222	3892
54	223	3842
55	225	3794
56	226	3750
57	228	3714
58	230	3669
59	231	3625
60	232	3583
61	234	3545
62	235	3504
63	237	3466
64	238	3429
65	239	3393
66	241	3357
67	242	3328
68	244	3298
69	245	3266
70	247	3235
71	248	3204
72	250	3174
73	251	3145
74	252	3118
75	254	3090
76	255	3064
77	257	3037
78	258	3016
79	260	2991
80	261	2967
81	262	2943
82	264	2920
83	265	2897
84	267	2874
85	268	2853
86	269	2831
87	271	2811
88	273	2795
89	275	2782
90	276	2763
91	277	2743
92	279	2724
93	280	2706
94	282	2688
95	283	2671
96	285	2654
97	286	2636
98	287	2620
99	289	2606
100	291	2595
101	292	2578
102	294	2562
103	295	2547
104	296	2531
105	298	2516
106	299	2501
107	301	2487
108	302	2473
109	303	2459
110	306	2450
111	307	2437
112	308	2423
113	310	2411
114	311	2398
115	312	2385
116	314	2372
117	315	2360
118	317	2347
119	318	2335
120	319	2323
121	321	2316
122	323	2304
123	324	2292
124	326	2282
125	327	2271
126	328	2261
127	330	2249
128	331	2239
129	333	2228
130	334	2218
131	335	2209
132	337	2202
133	339	2192
134	340	2179
135	341	2169
136	342	2160
137	344	2150
138	345	2141
139	347	2132
140	348	2123
141	349	2114
142	351	2105
143	353	2100
144	354	2090
145	355	2081
146	357	2073
147	358	2064
148	359	2055
149	361	2047
150	362	2039
151	364	2031
152	365	2023
153	366	2015
154	369	2011
155	370	2003
156	371	1996
157	373	1988
158	374	1981
159	375	1973
160	377	1966
161	378	1959
162	380	1953
163	381	1946
164	383	1941
165	385	1936
166	386	1928
167	388	1922
168	389	1916
169	390	1908
170	392	1902
171	394	1898
172	395	1892
173	397	1886
174	398	1880
175	400	1874
176	401	1867
177	403	1861
178	404	1855
179	405	1848
180	407	1842
181	408	1837
182	410	1831
183	411	1825
184	412	1818
185	414	1813
186	415	1808
187	417	1802
188	418	1796
189	420	1790
190	421	1784
191	422	1779
192	424	1773
193	439	1826
194	441	1820
195	442	1814
196	443	1809
197	445	1803
198	446	1798
199	448	1793
200	449	1787
201	451	1782
202	452	1776
203	454	1771
204	455	1766
205	456	1760
206	458	1755
207	459	1749
208	460	1744
209	462	1739
210	464	1735
211	465	1730
212	467	1725
213	468	1722
214	470	1717
215	471	1711
216	473	1706
217	474	1702
218	475	1697
219	477	1692
220	478	1687
221	480	1682
222	481	1678
223	482	1673
224	484	1668
225	485	1663
226	487	1659
227	488	1654
228	489	1649
229	491	1644
230	492	1639
231	494	1636
232	495	1631
233	497	1627
234	498	1622
235	499	1618
236	501	1613
237	502	1609
238	504	1604
239	505	1600
240	506	1595
241	508	1591
242	509	1587
243	511	1583
244	512	1579
245	513	1574
246	515	1570
247	516	1566
248	517	1562
249	519	1558
250	520	1553
251	522	1549
252	523	1546
253	525	1543
254	527	1539
255	528	1536
256	530	1532
257	531	1528
258	533	1525
259	534	1521
260	536	1517
261	537	1513
262	539	1510
263	541	1508
264	542	1505
265	544	1501
266	545	1498
267	547	1494
268	548	1491
269	550	1488
270	552	1485
271	553	1482
272	555	1479
273	557	1477
274	558	1473
275	560	1470
276	561	1466
277	563	1462
278	564	1459
279	566	1456
280	567	1453
281	569	1450
282	571	1448
283	573	1445
284	575	1443
285	576	1439
286	578	1437
287	580	1435
288	582	1432
289	583	1429
290	585	1426
291	587	1423
292	589	1421
293	590	1418
294	592	1415
295	593	1411
296	595	1408
297	596	1404
298	597	1401
299	599	1398
300	600	1394
301	602	1392
302	604	1390
303	605	1387
304	607	1384
305	609	1382
306	610	1379
307	612	1376
308	613	1372
309	615	1370
310	617	1367
311	619	1365
312	620	1362
313	622	1359
314	624	1357
315	625	1354
316	627	1351
317	628	1348
318	630	1345
319	632	1343
320	633	1340
321	635	1337
322	636	1335
323	638	1332
324	640	1329
325	641	1326
326	642	1323
327	644	1320
328	645	1317
329	647	1315
330	650	1314
331	652	1312
332	654	1310
333	656	1309
334	658	1307
335	660	1304
336	662	1303
337	664	1301
338	666	1299
339	668	1297
340	669	1294
341	671	1291
342	672	1287
343	673	1284
344	675	1281
345	676	1278
346	678	1276
347	680	1274
348	681	1271
349	683	1268
350	684	1265
351	685	1262
352	687	1259
353	688	1256
354	689	1253
355	691	1250
356	692	1247
357	694	1244
358	695	1242
359	697	1239
360	698	1236
361	700	1233
362	701	1230
363	702	1227
364	704	1225
365	705	1222
366	707	1219
367	708	1216
368	709	1213
369	711	1211
370	713	1209
371	714	1206
372	716	1203
373	717	1200
374	718	1198
375	720	1195
376	721	1192
377	722	1189
378	724	1186
379	725	1184
380	727	1182
381	729	1180
382	731	1178
383	734	1177
384	735	1175
385	737	1173
386	739	1170
387	740	1168
388	742	1166
389	744	1164
390	746	1162
391	748	1160
392	749	1158
393	751	1156
394	753	1153
395	755	1151
396	756	1149
397	759	1149
398	761	1147
399	763	1144
400	765	1142
401	766	1140
402	768	1139
403	771	1137
404	773	1136
405	775	1134
406	777	1132
407	779	1131
408	782	1130
409	783	1127
410	785	1125
411	786	1122
412	788	1120
413	791	1120
414	792	1117
415	794	1115
416	796	1113
417	798	1111
418	800	1109
419	801	1107
420	803	1104
421	805	1102
422	806	1100
423	808	1098
424	810	1096
425	811	1093
426	813	1091
427	814	1089
428	816	1087
429	818	1085
430	821	1084
431	823	1083
432	825	1081
433	827	1079
434	829	1077
435	830	1074
436	832	1072
437	833	1070
438	835	1068
439	837	1066
440	839	1063
441	840	1061
442	842	1059
443	843	1056
